	DSInum	term_freq	word
1217	30	0	uncertainty
1218	30	1	work
1219	30	0	Freedom
1220	30	0	Caucus
1221	30	0	Gerrymander
1222	30	2	House
1223	30	0	of
1224	30	0	Reresentatives
1225	30	0	jobs
1226	30	0	executive
1227	30	1	order
1228	30	0	Internet
1229	30	0	Service
1230	30	0	Provider
1231	30	0	Internet
1232	30	0	User
1233	30	0	Sensitive
1234	30	0	Information
1235	30	0	Internet
1236	30	0	History
1237	30	0	Federal
1238	30	0	Communications
1239	30	1	Commission
1240	30	0	FCC
1241	30	0	rules
1242	30	0	Advertiser
1243	30	0	Health
1244	30	0	Information
1245	30	0	Advocates
1246	30	0	Virtual
1247	30	2	Private
1248	30	0	Network
1249	30	0	Consumer
1250	30	0	Permission
1251	30	0	coal
1252	30	0	miners
1253	30	2	environmental
1254	30	0	regulation
1255	30	0	certain
1256	30	0	Middle-Eastern
1257	30	0	countries
1258	30	0	emergency
1259	30	0	stay
1260	30	0	our
1261	30	0	country
1262	30	0	refugees
1263	30	1	Travel
1264	30	0	ban
1265	30	0	Japan
1266	30	0	Navarro
1267	30	0	trade
1268	30	0	deficit
1269	30	0	trading
1270	30	0	partners
1271	30	0	Military
1272	30	0	action
1273	30	0	Missile
1274	30	0	North
1275	30	0	Korea
1276	30	0	nuclear
1277	30	0	testing
1278	30	0	Rex
1279	30	0	Tillerson
1280	30	0	South
1281	30	0	Korea
1282	30	0	threats
1283	30	0	christopher
1284	30	0	steele
1285	30	0	fbi
1286	30	0	kremlin
1287	30	0	election
1288	30	0	involvement
1289	30	0	mickhail
1290	30	0	kulagin
1291	30	0	bankruptcy
1292	30	0	bill
1293	30	0	Healthcare
1294	30	0	reform
1295	30	0	foreign
1296	30	0	country
1297	30	0	lawful
1298	30	0	restriction
1299	30	0	public
1300	30	0	safety
1301	30	0	travel\xca
1302	30	0	United
1303	30	0	States
1304	30	0	American
1305	30	0	Health
1306	30	0	Care
1307	30	0	Act
1308	30	0	deductibles
1309	30	0	premiums
1310	30	0	repeal
1311	30	0	and
1312	30	0	replace
1313	30	1	Ryan
1314	30	6	construction
1315	30	2	cost
1316	30	3	Department
1317	30	0	of
1318	30	2	Homeland
1319	30	2	Security
1320	30	0	U.S
1321	30	6	Mexico
1322	30	9	border
1323	30	0	Community
1324	30	0	Small
1325	30	0	Business
1326	30	0	Small
1327	30	0	Business
1328	30	0	Confidence
1329	30	0	Affordable
1330	30	0	Care
1331	30	0	Act
1332	30	0	Regulations
1333	30	0	Small
1334	30	0	business
1335	30	0	Community
1336	30	0	United
1337	30	0	States
1338	30	0	Economy
1339	30	0	Small
1340	30	0	business
1341	30	0	confidence
1342	30	0	tax
1343	30	0	overhaul
1344	31	4	administration
1345	31	0	americanEnergy
1346	31	0	bank
1347	31	0	barackObama
1348	31	0	border
1349	31	0	bridge
1350	31	2	business
1351	31	0	campaign
1352	31	0	climateChange
1353	31	0	congress
1354	31	0	conservative
1355	31	0	democracy
1356	31	0	democrat
1357	31	0	democraticParty
1358	31	1	economy
1359	31	0	election
1360	31	0	energy
1361	31	0	environment
1362	31	0	government
1363	31	0	hack
1364	31	0	hillaryClinton
1365	31	0	houseRepublican
1366	31	0	immigrant
1367	31	0	immigration
1368	31	0	intelligenceAgency
1369	31	0	keystonePipeline
1370	31	0	lawmaker
1371	31	0	leader
1372	31	0	legislation
1373	31	0	media
1374	31	1	mexico
1375	31	0	money
1376	31	0	moscow
